,FieldGoalAttempts,FieldGoalsMade,OffensiveRebounds,Assists,Turnovers,OffensiveEfficiency,EfficientPointsScored,RawEOP,PointsScored,Win,% chance of loss,% chance of win
0,61,20,15,5,10,0.409836066,20.90163934,22.45901639,51,0,0.882,0.118
1,25,13,3,12,13,0.531914894,29.78723404,34.63829787,56,0,0.266,0.734
2,46,28,7,11,8,0.672413793,49.0862069,54.70758621,73,1,0.13,0.87
3,50,25,8,18,13,0.589041096,41.82191781,49.88,71,1,0.154,0.846
4,43,21,8,10,16,0.508196721,34.55737705,38.41967213,68,0,0.322,0.678
5,51,17,7,10,16,0.385714286,17.35714286,20.28857143,45,0,0.98,0.02
6,52,26,6,20,11,0.597402597,41.22077922,50.3012987,69,1,0.16,0.84
7,59,31,9,20,10,0.6375,49.725,59.415,78,1,0.162,0.838
8,61,32,15,24,12,0.682926829,56.0,68.45658537,82,1,0.016,0.984
9,61,24,12,12,15,0.473684211,33.15789474,37.47789474,70,1,0.526,0.474
10,46,22,5,12,10,0.53968254,38.85714286,43.77904762,72,1,0.122,0.878
11,48,19,7,9,4,0.518518519,33.7037037,37.25037037,65,1,0.254,0.746
12,56,27,7,14,6,0.594202899,39.8115942,46.13391304,67,1,0.828,0.172
13,35,14,6,10,7,0.52173913,26.08695652,28.8626087,50,1,0.264,0.736
14,54,21,6,13,7,0.5,30.5,35.44,61,0,0.794,0.206
15,56,25,11,17,8,0.6,45.0,52.752,75,1,0.05,0.95
16,53,13,11,9,15,0.333333333,16.0,18.28,48,0,0.934,0.066
17,53,23,13,20,10,0.614285714,36.85714286,46.19428571,60,1,0.68,0.32
18,42,19,5,13,9,0.542372881,28.20338983,31.91322034,52,1,0.362,0.638
19,53,25,11,12,11,0.569230769,37.56923077,42.76061538,66,0,0.396,0.604
20,52,19,6,11,21,0.384615385,21.53846154,24.75384615,56,0,0.868,0.132
21,40,24,3,19,10,0.651515152,39.74242424,44.69393939,61,1,0.4,0.6
22,78,37,24,14,15,0.614457831,56.53012048,63.06795181,92,1,0.046,0.954
23,54,23,6,14,10,0.513888889,31.86111111,37.32888889,62,0,0.804,0.196
24,63,26,14,5,2,0.553571429,39.85714286,41.96071429,72,1,0.382,0.618
25,43,19,1,14,10,0.5,23.0,28.32,46,0,0.608,0.392
26,55,16,12,10,7,0.433333333,18.2,21.49333333,42,0,0.872,0.128
27,49,27,7,15,11,0.617647059,45.08823529,52.12941176,73,1,0.064,0.936
28,44,20,2,11,10,0.492063492,33.46031746,37.57396825,68,0,0.21,0.79
29,57,26,4,21,13,0.540229885,38.89655172,47.51862069,72,0,0.32,0.68
30,52,28,4,15,19,0.524390244,38.80487805,44.78292683,74,0,0.59,0.41
31,72,20,5,12,6,0.376470588,24.09411765,27.52752941,64,0,0.906,0.094
32,54,25,7,11,4,0.580645161,39.48387097,44.33806452,68,1,0.622,0.378
33,58,34,11,18,12,0.675324675,62.12987013,71.36831169,92,1,0.002,0.998
34,57,31,6,18,8,0.636363636,53.45454545,62.16,84,1,0.044,0.956
