GameId,Date,PlayerID,TeamID,Opponent,WinOrLoss,Minutes,PointsScored,FGA,FGM,ThreePointAttempts,ThreePointMakes,Rebounds,Assists,Turnovers,Steals
1,1/15/2021,1,1,Oshkosh West,Win,36,16,8,4,6,3,8,7,4,0
2,1/12/2021,1,1,Neenah,Loss,36,27,14,9,6,4,3,11,2,1
3,1/11/2021,1,1,Seymour,Win,40,33,23,13,10,5,3,9,7,4
4,1/7/2021,1,1,Appleton North,Win,40,12,11,4,7,2,7,6,1,1
5,1/5/2021,1,1,Appleton West,Win,27,28,14,9,5,3,4,7,0,2
6,2/2/2021,1,1,Appleton East,Loss,36,18,17,6,9,2,0,5,1,1
7,2/5/2021,1,1,Oshkosh North,Win,27,26,18,9,12,7,5,2,0,2
8,2/11/2021,1,1,Fond Du Lac,Loss,40,23,18,6,9,2,5,13,4,2
9,2/16/2021,1,1,Appleton West,Win,34,15,8,3,6,2,5,8,4,0
10,2/19/2021,1,1,Neenah,Loss,36,22,14,8,5,2,3,8,0,3
11,12/3/2020,1,1,Appleton North,Win,31,35,21,12,6,3,3,3,5,1
12,12/4/2020,1,1,Oshkosh West,Win,35,15,11,5,6,1,3,3,3,1
13,12/8/2020,1,1,Appleton East,Win,34,40,22,12,5,1,4,6,5,6
14,12/11/2020,1,1,Hortonville,Win,44,6,7,2,4,0,7,3,5,0
15,12/12/2020,1,1,De Pere,Loss,36,20,14,6,10,6,1,5,1,2
16,12/15/2020,1,1,Kimberly,Loss,32,22,15,7,13,5,4,3,1,4
17,12/18/2020,1,1,Oshkosh North,Loss,36,26,17,8,6,3,5,7,2,4
