Date,Team,Opponent,Player,Minutes,FieldGoalAttempts,FieldGoalMade,Assits,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Turnovers,Points,OffensiveEfficiency,EfficientPointsScored,RawEOP,Win
12/3/2020,Kaukauna,Appleton North,4,31,21,12,3,1,2,3,5,35,0.535714286,18.75,19.97142857,Yes
12/4/2020,Kaukauna,Oshkosh West,4,35,13,5,3,0,3,3,3,15,0.421052632,6.315789474,7.275789474,Yes
12/8/2020,Kaukauna,Appleton East,4,34,22,12,6,0,4,4,5,40,0.545454545,21.81818182,24.30545455,Yes
12/11/2020,Kaukauna,Hortonville,4,44,7,2,6,2,5,7,5,6,0.5,3,5.28,Yes
12/12/2020,Kaukauna,De Pere,4,36,14,6,5,0,1,1,1,20,0.55,11,13.09,No
12/15/2020,Kaukauna,Kimberly,4,32,16,7,3,0,4,4,1,22,0.5,11,12.14,No
12/18/2020,Kaukauna,Oshkosh North,4,36,17,8,7,1,4,5,2,26,0.6,15.6,18.792,No
12/21/2020,Kaukauna,Fond du Lac,4,36,22,11,9,1,7,8,3,28,0.606060606,16.96969697,21.11515152,No
12/23/2020,Kaukauna,Neenah,4,34,6,1,6,0,1,1,8,7,0.35,2.45,4.046,No
12/29/2020,Kaukauna,Pius XI Catholic,4,34,12,6,11,0,1,1,5,21,0.607142857,12.75,17.82571429,Yes
12/30/2020,Kaukauna,Greendale,4,36,6,3,6,0,1,1,2,15,0.642857143,9.642857143,12.57428571,Yes
1/5/2021,Kaukauna,Appleton West,4,27,14,9,7,1,3,4,0,28,0.8,22.4,26.656,Yes
1/7/2021,Kaukauna,Appleton North,4,40,11,4,6,0,7,7,1,12,0.555555556,6.666666667,9.2,Yes
1/11/2021,Kaukauna,Seymour,4,40,23,13,9,0,3,3,7,33,0.564102564,18.61538462,22.47384615,Yes
1/12/2021,Kaukauna,Neenah,4,36,14,9,11,0,3,3,2,27,0.740740741,20,26.19259259,No
1/15/2021,Kaukauna,Oshkosh West,4,36,8,4,7,0,8,8,4,16,0.578947368,9.263157895,12.34315789,Yes
1/16/2021,Kaukauna,Tomah,4,33,14,3,6,0,0,0,1,10,0.428571429,4.285714286,6.24,No
1/19/2021,Kaukauna,Green Bay Southwest,4,36,15,8,6,0,8,8,4,23,0.56,12.88,15.4336,Yes
1/22/2021,Kaukauna,Hortonville,4,29,13,2,7,0,2,2,2,8,0.409090909,3.272727273,5.449090909,Yes
1/23/2021,Kaukauna,Appleton West,4,28,18,8,11,0,3,3,0,25,0.655172414,16.37931034,21.85655172,Yes
1/29/2021,Kaukauna,Kimberly,4,34,19,7,7,1,1,2,3,20,0.5,10,12.66,No
2/2/2021,Kaukauna,Appleton East,4,36,17,6,5,0,0,0,1,18,0.47826087,8.608695652,10.42608696,No
12/3/2020,Kaukauna,Appleton North,2,34,11,4,2,0,4,4,2,13,0.4,5.2,5.808,Yes
12/4/2020,Kaukauna,Oshkosh West,2,21,7,3,1,0,3,3,2,9,0.4,3.6,3.904,Yes
12/8/2020,Kaukauna,Appleton East,2,25,4,1,1,0,3,3,2,4,0.285714286,1.142857143,1.36,Yes
12/11/2020,Kaukauna,Hortonville,2,35,17,6,3,1,1,2,0,19,0.473684211,9,10.08,Yes
12/12/2020,Kaukauna,De Pere,2,30,6,1,0,2,2,4,2,6,0.166666667,1,1,No
12/15/2020,Kaukauna,Kimberly,2,14,11,2,0,0,1,1,1,4,0.166666667,0.666666667,0.666666667,No
12/18/2020,Kaukauna,Oshkosh North,2,36,7,2,3,3,8,11,0,4,0.714285714,2.857142857,4.485714286,No
12/21/2020,Kaukauna,Fond du Lac,2,21,3,1,1,1,2,3,2,4,0.4,1.6,1.904,No
12/23/2020,Kaukauna,Neenah,2,12,3,0,0,0,3,3,0,2,0,0,0,No
12/29/2020,Kaukauna,Pius XI Catholic,2,26,7,3,0,1,2,3,2,6,0.375,2.25,2.25,Yes
