DateOfGame,Team,Opponent,PointsScored,FieldGoalAttempts,FieldGoalsMade,OffensiveRebounds,Assists,Turnovers,WinOrLoss,OffensiveEfficiency,EfficientPointsScored,RawEOP
12/3/2020,Kaukauna,Appleton North,73,51,20,10,7,11,Win,0.457627119,33.40677966,35.84135593
12/4/2020,Kaukauna,Oshkosh West,72,48,25,3,14,10,Win,0.565217391,40.69565217,46.70956522
12/8/2020,Kaukauna,Appleton East,86,56,27,6,14,15,Win,0.518987342,44.63291139,50.15493671
12/11/2020,Kaukauna,Hortonville,72,55,25,12,14,21,Win,0.5,36,41.32
12/12/2020,Kaukauna,De Pere,61,54,21,6,13,7,Loss,0.5,30.5,35.44
12/15/2020,Kaukauna,Kimberly,64,72,20,5,12,6,Loss,0.376470588,24.09411765,27.52752941
12/18/2020,Kaukauna,Oshkosh North,73,62,29,12,14,16,Loss,0.5375,39.2375,44.9565
12/21/2020,Kaukauna,Fond du Lac,73,57,29,10,12,13,Loss,0.569444444,41.56944444,46.76277778
12/23/2020,Kaukauna,Neenah,43,44,13,6,8,12,Loss,0.362068966,15.56896552,17.77034483
12/29/2020,Kaukauna,Pius XI Catholic,96,62,39,12,26,13,Win,0.730337079,70.11235955,84.54382022
12/30/2020,Kaukauna,Greendale,71,46,25,10,17,12,Win,0.646153846,45.87692308,54.22523077
1/5/2021,Kaukauna,Appleton West,105,67,39,15,26,8,Win,0.755813953,79.36046512,94.29534884
1/7/2021,Kaukauna,Appleton North,66,57,25,5,17,8,Win,0.545454545,36,43.04727273
1/11/2021,Kaukauna,Seymour,92,57,34,9,16,13,Win,0.649350649,59.74025974,67.63636364
1/12/2021,Kaukauna,Neenah,78,52,29,8,15,8,Loss,0.656716418,51.2238806,58.71044776
1/15/2021,Kaukauna,Oshkosh West,57,46,19,10,11,12,Win,0.508474576,28.98305085,33.23389831
1/16/2021,Kaukauna,Tomah,55,52,17,7,13,14,Loss,0.416666667,22.91666667,27.03333333
1/19/2021,Kaukauna,Green Bay Southwest,93,60,36,9,18,10,Win,0.683544304,63.56962025,72.92050633
1/22/2021,Kaukauna,Hortonville,96,72,37,19,28,7,Win,0.738636364,70.90909091,86.62727273
1/23/2021,Kaukauna,Appleton West,99,63,34,10,29,11,Win,0.677419355,67.06451613,81.99483871
1/29/2021,Kaukauna,Kimberly,65,58,23,6,12,13,Loss,0.454545455,29.54545455,33.69090909
12/1/2020,Appleton East,Neenah,72,38,23,3,14,13,Loss,0.596774194,42.96774194,49.31741935
12/4/2020,Appleton East,Appleton West,67,53,25,15,20,11,Win,0.652173913,43.69565217,53.60869565
12/8/2020,Appleton East,Kaukauna,70,51,23,7,18,26,Loss,0.465909091,32.61363636,38.98727273
12/11/2020,Appleton East,Fond du Lac,65,57,27,6,17,7,Loss,0.586666667,38.13333333,45.71306667
12/12/2020,Appleton East,Bay Port,48,49,16,10,9,20,Loss,0.367647059,17.64705882,20.16176471
12/15/2020,Appleton East,Appleton North ,62,52,25,4,14,13,Loss,0.52,32.24,37.7728
12/18/2020,Appleton East,Oshkosh West,58,40,22,4,14,15,Win,0.553846154,32.12307692,38.016
12/22/2020,Appleton East,Hortonville,64,47,18,6,15,7,Win,0.523809524,33.52380952,39.4952381
1/9/2021,Appleton East,Neenah,34,40,14,5,12,12,Loss,0.440677966,14.98305085,19.0020339
1/15/2021,Appleton East,Appleton West,77,51,27,7,23,7,Win,0.675675676,52.02702703,63.83783784
1/18/2021,Appleton East,Xavier,72,57,26,4,21,13,Loss,0.540229885,38.89655172,47.51862069
1/19/2021,Appleton East,Kimberly,50,44,15,4,10,12,Loss,0.403225806,20.16129032,23.22580645
1/22/2021,Appleton East,Fond du Lac,66,50,23,10,16,7,Loss,0.619047619,40.85714286,48.3847619
1/23/2021,Appleton East,Oshkosh North ,74,51,26,5,19,11,Win,0.592105263,43.81578947,52.36578947
1/26/2021,Appleton East,Oshkosh North ,81,57,33,2,28,8,Loss,0.67032967,54.2967033,68.56131868
1/29/2021,Appleton East,Appleton North ,41,42,18,2,13,11,Loss,0.484375,19.859375,24.645
12/3/2020,Appleton North,Kaukauna,55,49,21,7,18,17,Loss,0.506493506,27.85714286,34.78597403
12/5/2020,Appleton North,Neenah,54,42,17,5,9,21,Loss,0.388059701,20.95522388,23.60955224
12/8/2020,Appleton North,Oshkosh North,66,52,24,8,12,13,Win,0.52173913,34.43478261,39.19304348
12/11/2020,Appleton North,Appleton West,73,57,25,14,18,17,Win,0.551282051,40.24358974,47.78512821
12/15/2020,Appleton North,Appleton East,67,50,23,6,11,14,Win,0.492753623,33.01449275,37.13391304
12/18/2020,Appleton North,Fond du Lac,74,57,30,8,12,12,Win,0.575342466,42.57534247,47.82246575
12/21/2020,Appleton North,Oshkosh West,63,48,18,12,15,13,Loss,0.515625,32.484375,38.3625
12/22/2020,Appleton North,Menasha,82,65,33,9,13,12,Win,0.567901235,46.56790123,52.17876543
12/29/2020,Appleton North,Ashwaubenon,59,42,22,4,13,13,Win,0.546875,32.265625,37.66875
1/2/2021,Appleton North,Shawano,43,39,16,5,13,15,Loss,0.467741935,20.11290323,24.73419355
1/7/2021,Appleton North,Kaukauna,62,54,23,6,14,10,Loss,0.513888889,31.86111111,37.32888889
1/12/2021,Appleton North,Hortonville,62,51,23,7,18,16,Loss,0.525641026,32.58974359,39.78051282
1/15/2021,Appleton North,Neenah,37,38,14,6,8,0,Loss,0.55,20.35,23.694
1/18/2021,Appleton North,Hortonville,60,39,19,5,10,21,Win,0.446153846,26.76923077,30.16
1/21/2021,Appleton North,Kimberly,58,48,18,5,14,8,Loss,0.492307692,28.55384615,33.792
1/22/2021,Appleton North,Appleton West,48,42,15,7,9,13,Win,0.421052632,20.21052632,23.09052632
1/23/2021,Appleton North,Mantiowoc Lincoln,62,40,20,5,10,7,Win,0.576923077,35.76923077,40.15384615
1/26/2021,Appleton North,Kimberly,42,39,14,7,6,13,Loss,0.392156863,16.47058824,18.25882353
1/29/2021,Appleton North,Appleton East,51,54,19,12,12,13,Win,0.462686567,23.59701493,27.81671642
12/1/2020,Appleton West,Fond du Lac,53,42,18,5,5,17,Loss,0.389830508,20.66101695,22.14237288
12/4/2020,Appleton West,Appleton East,58,52,25,11,8,16,Loss,0.507692308,29.44615385,32.53292308
12/8/2020,Appleton West,Neenah,41,41,13,9,7,21,Loss,0.333333333,13.66666667,15.44
12/11/2020,Appleton West,Appleton North,45,58,18,8,15,14,Loss,0.417721519,18.79746835,23.55949367
12/12/2020,Appleton West,Notre Dame,55,53,21,9,6,23,Loss,0.369863014,20.34246575,22.0290411
12/18/2020,Appleton West,Hortonville,51,60,19,15,13,23,Loss,0.395061728,20.14814815,24.05135802
12/21/2020,Appleton West,Kimberly,56,52,19,6,11,21,Loss,0.384615385,21.53846154,24.75384615
12/23/2020,Appleton West,Saint Mary's Springs,60,49,22,13,7,15,Win,0.5,30,32.66
12/30/2020,Appleton West,Oshkosh North,60,58,26,13,18,15,Loss,0.564102564,33.84615385,41.56307692
1/8/2021,Appleton West,Fond du Lac,42,55,16,12,10,7,Loss,0.433333333,18.2,21.49333333
1/12/2021,Appleton West,Oshkosh North,60,52,21,5,5,10,Loss,0.419354839,25.16129032,26.75483871
1/15/2021,Appleton West,Appleton East,51,61,20,15,5,10,Loss,0.409836066,20.90163934,22.45901639
1/18/2021,Appleton West,Wisconsin Rapids,57,51,22,5,8,13,Loss,0.447761194,25.52238806,28.24477612
1/22/2021,Appleton West,Appleton North,36,52,12,11,7,13,Loss,0.31147541,11.21311475,12.87016393
1/23/2021,Appleton West,Kaukauna,62,59,22,5,14,14,Loss,0.43902439,27.2195122,31.89073171
1/29/2021,Appleton West,Oshkosh West,57,45,22,10,7,16,Loss,0.5,28.5,31.16
1/30/2021,Appleton West,Roncalli ,65,53,22,11,17,12,Win,0.549295775,35.70422535,42.80112676
12/1/2020,Fond du Lac,Appleton West,81,50,27,5,12,8,Win,0.6,48.6,54.072
12/4/2020,Fond du Lac,Kimberly,65,52,22,4,8,9,Loss,0.461538462,30,32.80615385
12/8/2020,Fond du Lac,Hortonville,60,59,20,10,13,13,Loss,0.44,26.4,30.7472
